file,total_silence,total_middle_silence,n_pauses,n_middle_pauses,total_duration,not_silence_duration,trimmed_duration,n_words,n_chars,speed_rate_word,speed_rate_char,speed_rate_word_trimmed,speed_rate_char_trimmed,gender,speaker_id,text,transcription,WER
test-clean/1089/134686/1089-134686-0000.flac,2.682999999999998,1.6929999999999985,9,7,10.435,7.752000000000002,9.486,29,130,0.3598275862068966,0.0802692307692307,0.3271034482758621,0.0729692307692307,M,1089,HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE,HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE,0.0
test-clean/1089/134686/1089-134686-0001.flac,0.8450000000000001,0.0,2,0,3.275,2.43,2.491,7,37,0.4678571428571428,0.0885135135135135,0.3558571428571428,0.0673243243243243,M,1089,STUFF IT INTO YOU HIS BELLY COUNSELLED HIM,STUFF IT INTO YOU HIS BELLY COUNSELLED HIM,0.0
test-clean/1089/134686/1089-134686-0002.flac,1.3230000000000006,0.3570000000000004,4,2,6.625,5.302,5.686,18,87,0.3680555555555556,0.0761494252873563,0.3158888888888889,0.0653563218390804,M,1089,AFTER EARLY NIGHTFALL THE YELLOW LAMPS WOULD LIGHT UP HERE AND THERE THE SQUALID QUARTER OF THE BROTHELS,AFTER EARLY NIGHTFALL THE YELLOW LAMPS WOULD LIGHT UP HERE AND THERE THE SQUALID QUARTER OF THE BROUTHELS,0.05555555555555555
test-clean/1089/134686/1089-134686-0003.flac,0.9670000000000004,0.1660000000000001,3,1,2.68,1.7129999999999996,1.919,7,25,0.3828571428571429,0.1072,0.2741428571428571,0.07676,M,1089,HELLO BERTIE ANY GOOD IN YOUR MIND,HELLO BIRTIE ANY GOOD IN YOUR MIND,0.14285714285714285
test-clean/1089/134686/1089-134686-0004.flac,1.998,1.5119999999999998,5,3,5.215,3.2170000000000005,4.774,11,49,0.474090909090909,0.1064285714285714,0.434,0.0974285714285714,M,1089,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND,0.0
test-clean/1089/134686/1089-134686-0005.flac,2.253,1.2900000000000005,5,3,9.635,7.382,8.694,22,113,0.4379545454545454,0.0852654867256637,0.3951818181818182,0.0769380530973451,M,1089,THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS,THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS,0.0
test-clean/1089/134686/1089-134686-0006.flac,2.4479999999999977,1.3059999999999985,7,5,10.555,8.107000000000003,9.441,24,117,0.4397916666666666,0.0902136752136752,0.393375,0.0806923076923076,M,1089,THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL,THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUASION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TALE,0.08333333333333333
test-clean/1089/134686/1089-134686-0007.flac,1.0020000000000002,0.0,2,0,4.275,3.273,3.29,8,38,0.534375,0.1125,0.41125,0.086578947368421,M,1089,A COLD LUCID INDIFFERENCE REIGNED IN HIS SOUL,A COLD LUCID INDIFFERENCE REIGNED IN HIS SOUL,0.0
test-clean/1089/134686/1089-134686-0008.flac,1.293,0.3570000000000002,4,2,6.73,5.437,5.807,15,79,0.4486666666666667,0.0851898734177215,0.3871333333333333,0.073506329113924,M,1089,THE CHAOS IN WHICH HIS ARDOUR EXTINGUISHED ITSELF WAS A COLD INDIFFERENT KNOWLEDGE OF HIMSELF,THE CHAOS IN WHICH HIS ARDOR EXTINGUISHED ITSELF WAS A COLD INDIFFERENT KNOWLEDGE OF HIMSELF,0.06666666666666667
test-clean/1089/134686/1089-134686-0009.flac,3.425999999999998,2.193999999999999,8,6,10.575,7.149000000000001,9.464,27,108,0.3916666666666666,0.0979166666666666,0.3505185185185185,0.0876296296296296,M,1089,AT MOST BY AN ALMS GIVEN TO A BEGGAR WHOSE BLESSING HE FLED FROM HE MIGHT HOPE WEARILY TO WIN FOR HIMSELF SOME MEASURE OF ACTUAL GRACE,AT MOST BY AN ALMS GIVEN TO A BEGGAR WHOSE BLESSING HE FLED FROM HE MIGHT HOPE WEARILY TO WIN FOR HIMSELF SOME MEASURE OF ACTUAL GRACE,0.0
test-clean/1089/134686/1089-134686-0010.flac,0.9049999999999998,0.0,2,0,4.405,3.5000000000000004,3.643,14,46,0.3146428571428571,0.0957608695652174,0.2602142857142857,0.079195652173913,M,1089,WELL NOW ENNIS I DECLARE YOU HAVE A HEAD AND SO HAS MY STICK,WELL NOW ENIS I DECLARE YOU HAVE A HEAD AND SO HAS MY STICK,0.07142857142857142
test-clean/1089/134686/1089-134686-0011.flac,2.0200000000000005,0.9489999999999998,5,3,12.445,10.425,11.382,39,169,0.3191025641025641,0.0736390532544378,0.2918461538461538,0.0673491124260355,M,1089,ON SATURDAY MORNINGS WHEN THE SODALITY MET IN THE CHAPEL TO RECITE THE LITTLE OFFICE HIS PLACE WAS A CUSHIONED KNEELING DESK AT THE RIGHT OF THE ALTAR FROM WHICH HE LED HIS WING OF BOYS THROUGH THE RESPONSES,ON SATURDAY MORNINGS WHEN THE SODALITY MET IN THE CHAPEL TO RECITE THE LITTLE OFFICE HIS PLACE WAS A CUSHIONED KNEELING DESK AT THE RIGHT OF THE ALTAR FROM WHICH HE LED HIS WING OF BOYS THROUGH THE RESPONSES,0.0
test-clean/1089/134686/1089-134686-0012.flac,3.338999999999998,2.167999999999998,8,6,11.64,8.301000000000002,10.496,28,131,0.4157142857142857,0.088854961832061,0.3748571428571429,0.0801221374045801,M,1089,HER EYES SEEMED TO REGARD HIM WITH MILD PITY HER HOLINESS A STRANGE LIGHT GLOWING FAINTLY UPON HER FRAIL FLESH DID NOT HUMILIATE THE SINNER WHO APPROACHED HER,HER EYES SEEMED TO REGARD HIM WITH MILD PITY HER HOLINESS A STRANGE LIGHT GLOWING FAINTLY UPON HER FRAIL FLESH DID NOT HUMILIATE THE SINNER WHO APPROACHED HER,0.0
test-clean/1089/134686/1089-134686-0013.flac,1.7369999999999994,0.5949999999999998,3,1,7.915,6.178000000000001,6.781,25,90,0.3166,0.0879444444444444,0.27124,0.0753444444444444,M,1089,IF EVER HE WAS IMPELLED TO CAST SIN FROM HIM AND TO REPENT THE IMPULSE THAT MOVED HIM WAS THE WISH TO BE HER KNIGHT,IF EVER HE WAS IMPELLED TO CAST SIN FROM HIM AND TO REPENT THE IMPULSE THAT MOVED HIM WAS THE WISH TO BE HER KNIGHT,0.0
test-clean/1089/134686/1089-134686-0014.flac,0.8930000000000002,0.306,4,2,2.225,1.332,1.656,8,26,0.278125,0.085576923076923,0.207,0.0636923076923076,M,1089,HE TRIED TO THINK HOW IT COULD BE,HE TRIED TO THINK HOW IT COULD BE,0.0
test-clean/1089/134686/1089-134686-0015.flac,2.455,1.9279999999999995,5,3,5.815,3.3600000000000003,5.325,14,67,0.4153571428571428,0.0867910447761194,0.3803571428571429,0.0794776119402985,M,1089,BUT THE DUSK DEEPENING IN THE SCHOOLROOM COVERED OVER HIS THOUGHTS THE BELL RANG,BUT THE DUSK DEEPENING IN THE SCHOOLROOM COVERED OVER HIS THOUGHTS THE BELL RANG,0.0
test-clean/1089/134686/1089-134686-0016.flac,0.98,0.0,2,0,3.54,2.56,2.593,10,47,0.354,0.0753191489361702,0.2593,0.0551702127659574,M,1089,THEN YOU CAN ASK HIM QUESTIONS ON THE CATECHISM DEDALUS,THEN YOU CAN ASK HIM QUESTIONS ON THE CATICHISM DE DILUS,0.3
