file,label,valence,activation,dominance,gender,predicted label,prediction,transcription,total_silence,total_duration,trimmed_duration,n_words,speed_rate_word,speed_rate_word_trimmed
Session1/sentences/wav/Ses01F_script03_2/Ses01F_script03_2_F000.wav,hap,4.0,3.0,4.0,F,hap,1,And very much sillier.,0.4189999999999996,5.25,5.14,4,1.3125,1.285
Session1/sentences/wav/Ses01F_script03_2/Ses01F_script03_2_F001.wav,hap,3.5,3.5,4.0,F,hap,1,Oh.  You knew there was nothing in that.,1.7510000000000003,4.07,2.873,8,0.50875,0.359125
Session1/sentences/wav/Ses01F_script03_2/Ses01F_script03_2_F002.wav,hap,4.0,3.5,4.0,F,hap,1,"Presents?  It was only a trivial, little brooch.",1.37,3.82,3.2569999999999997,8,0.4775,0.40712499999999996
Session1/sentences/wav/Ses01F_script03_2/Ses01F_script03_2_F004.wav,neu,3.5,3.5,4.5,F,hap,0,I did not.  You worked that whole thing up in your jealous imagination.,1.699,5.65,4.5840000000000005,13,0.4346153846153846,0.35261538461538466
Session1/sentences/wav/Ses01F_script03_2/Ses01F_script03_2_F005.wav,neu,3.5,2.0,3.5,F,neu,1,"Well, what of it?",1.0790000000000002,2.032,0.964,4,0.508,0.241
Session1/sentences/wav/Ses01F_script03_2/Ses01F_script03_2_F013.wav,ang,1.5,3.0,4.0,F,sad,0,Don't be stupid.,0.0,2.078,2.078,3,0.6926666666666667,0.6926666666666667
Session1/sentences/wav/Ses01F_script03_2/Ses01F_script03_2_F014.wav,ang,1.5,3.0,4.5,F,ang,1,What?,1.233,2.18,0.959,1,2.18,0.959
Session1/sentences/wav/Ses01F_script03_2/Ses01F_script03_2_F015.wav,ang,2.5,3.0,4.0,F,sad,0,No.  I am just making myself fascinating for you.,1.5989999999999998,4.749,3.229,9,0.5276666666666666,0.3587777777777778
Session1/sentences/wav/Ses01F_script03_2/Ses01F_script03_2_F016.wav,ang,4.0,3.0,4.5,F,hap,0,Oh.  It's a woman's duty to allure the man.,1.806,4.59,3.5170000000000003,9,0.51,0.39077777777777783
Session1/sentences/wav/Ses01F_script03_2/Ses01F_script03_2_F017.wav,ang,2.0,2.5,3.5,F,neu,0,No it isn't.,0.0,1.77,1.518,3,0.59,0.506
Session1/sentences/wav/Ses01F_script03_2/Ses01F_script03_2_F018.wav,ang,1.5,2.5,4.0,F,neu,0,You shut up.,0.0,1.84,1.84,3,0.6133333333333334,0.6133333333333334
Session1/sentences/wav/Ses01F_script03_2/Ses01F_script03_2_F021.wav,ang,1.0,4.5,5.0,F,ang,1,They sting. I don't care.  Do you understand?  I don't care if they bark and they roll about like hoops.,3.4049999999999994,8.517,6.916,20,0.42584999999999995,0.3458
Session1/sentences/wav/Ses01F_script03_2/Ses01F_script03_2_F022.wav,ang,2.5,4.0,5.0,F,ang,1,"Yes I did, quite a lot.",0.7469999999999999,2.63,2.066,6,0.4383333333333333,0.3443333333333333
Session1/sentences/wav/Ses01F_script03_2/Ses01F_script03_2_F023.wav,ang,2.5,3.0,4.5,F,ang,1,Mind your own business.,0.6750000000000003,2.24,1.589,4,0.56,0.39725
Session1/sentences/wav/Ses01F_script03_2/Ses01F_script03_2_F024.wav,ang,2.0,2.5,4.0,F,ang,1,"You're quite insufferable, I expect it's because you are drunk.",2.026,4.35,3.539,10,0.43499999999999994,0.3539
Session1/sentences/wav/Ses01F_script03_2/Ses01F_script03_2_F025.wav,ang,1.5,2.5,4.0,F,ang,1,You've always had a weak head.,0.7709999999999999,2.88,2.37,6,0.48,0.395
Session1/sentences/wav/Ses01F_script03_2/Ses01F_script03_2_F026.wav,ang,3.5,2.5,3.5,F,hap,0,"On the contrary, a child of two can get violently drunk on only one glass of brandy.",1.533,5.85,4.866,17,0.34411764705882353,0.28623529411764703
Session1/sentences/wav/Ses01F_script03_2/Ses01F_script03_2_F027.wav,ang,2.0,2.5,3.5,F,neu,0,Oh shut up.,0.285,1.977,0.20900000000000002,3,0.659,0.06966666666666667
Session1/sentences/wav/Ses01F_script03_2/Ses01F_script03_2_F028.wav,ang,1.5,3.5,4.5,F,hap,0,Shut up.,1.076,2.47,1.943,2,1.235,0.9715
Session1/sentences/wav/Ses01F_script03_2/Ses01F_script03_2_F029.wav,ang,2.5,3.5,4.0,F,hap,0,"Not very funny, darling.  Why don't you have some more brandy.",0.562,3.05,2.025,11,0.2772727272727273,0.18409090909090908
Session1/sentences/wav/Ses01F_script03_2/Ses01F_script03_2_F030.wav,neu,3.0,2.5,2.0,F,neu,1,Why?,0.438,1.387,0.9530000000000001,1,1.387,0.9530000000000001
